,market,id,code_ncaa,color
45,Fairleigh Dickinson,b71d5a1b-2671-4e5a-b94b-06bfb22a27dd,222,#003479
46,Florida,912f8837-1d81-4ef9-a576-a21f271d4c64,235,#003488
47,Old Dominion,ce967953-5c50-4220-87b2-99acb9606e84,523,#003564
48,Presbyterian,b06b63b0-20e6-4c78-bdcf-5feac3d7995e,1320,#0035AD
49,Chattanooga,4c9fb59b-6cec-4b0d-bb0f-628b391d138c,693,#00386b
50,Michigan,bdc2561d-f603-4fab-a262-f1d2af462277,418,#003976
51,UC Santa Barbara,3b6293f3-03db-46d2-8793-248963c2d83b,104,#0039a6
52,South Dakota State,6ef40534-5fad-4755-84de-7dcbd645d1f0,649,#0039a6
53,UNC Asheville,ad9fce12-6b1a-400c-bcbe-29d84d065fc0,456,#003C77
54,Detroit,1b78e7f6-f25c-4921-98e2-9bc565f8dfb4,184,#003a8a
55,Northern Arizona,1753768d-e46e-40b1-8d69-a8ae5cccec03,501,#003b76
56,UNC Greensboro,612f7f66-1de1-4d42-b842-9a508daab911,459,#003c79
57,Rice,bb384635-c3a0-459a-8f13-fcd7177313e5,574,#003f82
58,Cal State Bakersfield,2da57857-b038-4ad3-8199-e3fb339f57d2,94,#003fa4
59,San Diego,620d5944-7156-47d3-aad5-5b3824557d03,627,#004280
60,Portland State,79965018-7f6f-4273-9eef-65c99b592b01,550,#004319
61,Central Connecticut State,a93bf4f2-3724-4539-8c8a-9ac8ee3741a6,127,#004385
62,Chicago State,2f8c85a7-54f4-4942-be16-2cbac77c82d7,136,#004423
63,West Virginia,f770d3a2-221c-49ce-9c7a-680f7417fe9e,768,#00447c
64,Seton Hall,aef5e386-d8e8-460c-8014-3a2f090fd988,635,#004488
65,Utah Valley,4200f37c-86e0-413e-a5c4-e5edf1e272e7,30024,#00460f
66,Hawaii,d4dc55b3-94fe-4d4f-b0bf-c50c5f064392,277,#004631
67,Butler,bdb7d7a4-45f8-4bf3-ab85-15488c451494,87,#00467f
68,Indiana State,2a997096-a381-469d-a7e9-9e031c8b071c,305,#0046ad
69,Middle Tennessee,3d2f0819-8f3b-4ff3-afd6-6227c469a751,419,#0047aa
70,Massachusetts Lowell,4927ef8b-e680-4fb8-b10e-2ea3eff32eab,368,#004886
71,McNeese State,d2ef641c-70e4-48bb-b40d-ac654d179205,402,#004988
72,Rhode Island,7e42bca2-3cd7-4aca-aa46-f190fe5d8eb4,572,#004990
73,Oregon,1da70895-f77f-44ef-b216-d63c02e696eb,529,#004F27
74,Bucknell,98d2123a-c7b9-4b5f-8a81-43f76d8537dc,83,#004c8b
75,Mississippi Valley State,5873529e-e5e3-4a06-8a03-fa4cbe509880,432,#004e25
76,Cleveland State,e30c0417-b220-424e-886e-dd1249e2ca5a,148,#004f36
77,Miami (FL),7aec5187-cb1b-45e5-8f7d-406d766cdc73,415,#005030
78,Vermont,18e89867-9201-41ce-ba19-fadddf92fa17,738,#005030
79,Jacksonville,fb28bd56-9e56-40c1-992d-71c1e27fe4fd,316,#005239
80,Duke,faeb1160-5d15-4f26-99fc-c441cf21fc7f,193,#00529b
81,Saint Louis,1e42cce3-236b-4f3e-9650-2c45e6332e1e,609,#00529c
82,Delaware,0affc15f-641d-4211-970d-fb9fb8d36842,180,#00539f
83,Tulsa,2959bd24-7007-41ae-a3a3-abdf26888cfc,719,#005496
84,Sacramento State,1dc13b18-f9b3-4bb9-b1cf-979fcd8c2b6f,102,#005643
85,Tulane,399ad7fb-de60-45a6-a71f-d26e00f1a4ec,718,#005737
86,Stetson,394d1b2b-7a19-4d43-b04a-5f366c24e5bf,678,#005737
87,Cal Poly,45439cdb-af7a-4743-936c-dccc76b30877,90,#005836
88,DePaul,ee09e6ad-3872-4745-bbb9-ebbd5c6f8318,176,#0059a9
89,Creighton,7d797407-623e-476d-b299-46de4275414d,169,#005CA9
90,Kentucky,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,334,#005DAA
91,New Orleans,e7ff6d5c-07e9-42af-955d-0a0b8c1e2288,474,#005ca6
92,Georgia State,94ea835b-8ce9-4de2-a5b1-971548fea974,254,#005dab
93,Boise State,c1c54dbf-805c-47fc-a707-c803e94db2a4,66,#005dab
94,St. Francis (BKN),e19cfc47-f23f-4c64-ba29-2e6d12dc45b2,599,#0060a9
95,Hampton,161354af-1f3e-4d58-88f7-e016ec74b7b6,270,#0061aa
96,North Texas,10f450ce-143b-4e46-8bfe-52c644b68b07,497,#00622e
97,Texas-Arlington,7c2b372b-b5f0-466e-90cf-880beec57584,702,#0064b1
98,LIU Brooklyn,82c12e8d-7c6c-47d8-b100-3cbc190d268e,361,#0064ee
99,North Dakota State,984e7518-e418-45d5-9797-979b8c2085c1,493,#006633
