,market,id,code_ncaa,color
328,Arkansas-Pine Bluff,1394dd8a-040e-4509-9ee3-761d60eaf6c9,2678,#f29103
329,George Mason,e76479d0-a768-46d2-89bf-7b9dae12bec8,248,#f2aa00
330,Southeastern Louisiana,55cd5bb4-b030-4a7a-9652-6cebaf81c574,655,#f3b800
331,Lipscomb,a2b8223d-40b3-4076-b5df-55655c2f8591,28600,#f4b53b
332,Auburn,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,37,#f58025
333,Bethune-Cookman,0796c3b6-5308-4aa0-8fdc-c65d39b043c6,61,#f5ba00
334,Savannah State,3eacc387-0ad8-4c5e-a666-c8ab447d224f,632,#f65800
335,Hofstra,36ca2008-cd2e-4549-8b3b-c745167e07f3,283,#f6ba37
336,Tennessee,b827dbdf-230f-4916-9703-3bb9004e26eb,694,#f77f00
337,Sam Houston State,67322042-9c40-4dc2-b33a-4754c02ec82a,624,#f88834
338,SIU-Edwardsville,c206712f-2298-4279-b76c-834ac42809b9,660,#f94227
339,Bradley,b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,72,#fa143f
340,Campbell,6e5dfe2c-28cc-411f-b846-af8436093ab2,115,#fa9223
341,Morgan State,576b816b-5b9a-4768-a62b-f8435a8272c2,446,#fc5a14
342,UTSA,953151f2-1e42-4cb0-a99e-202493a64dcf,706,#fe7502
343,South Dakota,c946b7ac-5159-4817-93c4-fc9495c6425b,650,#ff2310
344,Syracuse,8cd24de1-2be8-4b77-bcfa-47be0495a5f4,688,#ff5113
345,Pacific,c9570e17-c4fd-41e6-908a-1a083941319d,534,#ff6900
346,Tennessee-Martin,9febd5fa-982f-4f40-ad1d-8e49be96cf4f,695,#ff6900
347,Idaho State,6a67ba19-56a8-4dd8-a5ae-9e9f2523c274,294,#ff7800
348,Northern Colorado,7e42fa84-68cd-47a6-b49a-18b5414d8084,502,#ffb500
349,North Carolina A&T,53aaac6a-796e-41a6-a04e-6ce74c5717f8,488,#ffb82b
350,Morehead State,b7747a03-c85b-4de6-94bf-1b5b68553248,444,#ffc300
